"model","condition","n","critical_fact_detection_rate","mean_chain_strength","sufficiency_ord","structured_label_1_rate","probe_label_1_rate","probe_margin_1_9"
"deepseek","absent-decoy",30,NA,0.0933333333333333,0,0,0.0666666666666667,-12.9478777636651
"deepseek","broken-bridge",30,0.455555555555556,0.29,0.1,0.0333333333333333,0.1,-10.3373995427097
"deepseek","concentrated-complete",30,0.737857142857143,0.865,1.73333333333333,0.9,0.8,7.2417458000474
"deepseek","explicit",30,0.704365079365079,0.93,1.86666666666667,0.933333333333333,0.966666666666667,10.4809770148176
"deepseek","scattered-complete",30,0.749444444444444,0.88,1.76666666666667,0.8,0.9,7.65887996520673
"qwen_llamacpp","absent-decoy",30,NA,0.193103448275862,0.448275862068966,0.166666666666667,0.566666666666667,3.89269034505559
"qwen_llamacpp","broken-bridge",30,0.0694444444444445,0.273333333333333,0.966666666666667,0.233333333333333,0.3,1.24208031369953
"qwen_llamacpp","concentrated-complete",30,0.245079365079365,0.8,1.83333333333333,0.9,0.966666666666667,11.4384033473955
"qwen_llamacpp","explicit",30,0.17952380952381,0.92,1.96666666666667,0.966666666666667,0.9,12.3017017076376
"qwen_llamacpp","scattered-complete",30,0.16452380952381,0.853333333333333,1.9,0.9,0.966666666666667,10.1519430192381
"seed","absent-decoy",30,NA,0.163333333333333,0,0,0,-39.0625
"seed","broken-bridge",30,0.572222222222222,0.263333333333333,0,0,0.0333333333333333,-25.6005266507467
"seed","concentrated-complete",30,0.760555555555556,0.748333333333333,1.06666666666667,0.533333333333333,0.833333333333333,24.3702913093567
"seed","explicit",30,0.651825396825397,0.899166666666667,1.5,0.733333333333333,0.866666666666667,32.7839007240075
"seed","scattered-complete",30,0.786746031746032,0.832333333333333,1.36666666666667,0.666666666666667,0.9,29.211775623835
