generation_seed,run_dir,observations_n,natural_probe_agreement_n,natural_probe_agreement_rate,probe_zero_label_n,probe_exact_margin_1_9_n,probe_exact_margin_1_vs_non1_n,probe_tau,probe_k,probe_B4_minus_B1_margin_1_9_mean,probe_B4_minus_B1_margin_1_9_ci_low,probe_B4_minus_B1_margin_1_9_ci_high,probe_B4_minus_B1_margin_1_9_positive_n,probe_B4_minus_B1_margin_1_vs_non1_mean,probe_B4_minus_B1_margin_1_vs_non1_ci_low,probe_B4_minus_B1_margin_1_vs_non1_ci_high,probe_B4_minus_B1_margin_1_vs_non1_positive_n,probe_label_1_rate_B0,probe_mean_margin_1_9_B0,probe_mean_margin_1_vs_non1_B0,probe_label_1_rate_B1,probe_mean_margin_1_9_B1,probe_mean_margin_1_vs_non1_B1,probe_label_1_rate_B2,probe_mean_margin_1_9_B2,probe_mean_margin_1_vs_non1_B2,probe_label_1_rate_B3,probe_mean_margin_1_9_B3,probe_mean_margin_1_vs_non1_B3,probe_label_1_rate_B4,probe_mean_margin_1_9_B4,probe_mean_margin_1_vs_non1_B4,life013_f1_b4_natural_label,life013_f1_b4_probe_label,life013_f1_b4_probe_margin_1_9,life013_f1_b4_probe_margin_1_vs_non1
829,${PROJECT_ROOT}/results/pure_bridge_15_qwen_llamacpp_runs/20260816_000852,75,63,0.84,7,75,75,1.52,1.15,41.328386736577386,32.71131067202923,49.22098406227109,15,36.490255433184295,28.565283079214165,43.60162220740658,15,0.26666666666666666,-5.82625631339349,-8.301197514415936,0.26666666666666666,-9.234210515683527,-11.391076850200973,0.4666666666666667,2.3480666813537616,-0.08642250992639817,1.0,33.43346888224284,26.7115312392897,0.9333333333333333,32.09417622089386,25.09917858298332,9,0,4.971595764160156,-4.979482664391834
830,${PROJECT_ROOT}/results/pure_bridge_15_qwen_llamacpp_runs/20260816_010601,75,63,0.84,7,75,75,1.52,1.15,41.327201891606684,32.4630866636086,49.14334083476768,15,36.49019775992505,28.598245320516618,43.58807687932069,15,0.26666666666666666,-5.82625631339349,-8.301197514415936,0.26666666666666666,-9.234210515683527,-11.391076850200973,0.4666666666666667,2.3441896547660366,-0.09030074758239057,1.0,33.43346888224284,26.7115312392897,0.9333333333333333,32.092991375923155,25.099120909724075,9,0,4.971595764160156,-4.979482664391834
831,${PROJECT_ROOT}/results/pure_bridge_15_qwen_llamacpp_runs/20260816_011912,75,63,0.84,7,75,75,1.52,1.15,41.325815630620355,32.73625554712273,49.17949804850615,15,36.48881149905378,28.60532428961338,43.62754925444287,15,0.26666666666666666,-5.82625631339349,-8.301197514415936,0.26666666666666666,-9.2328242546972,-11.389690589329712,0.4666666666666667,2.3480666813537616,-0.08642250992639817,1.0,33.43346888224284,26.7115312392897,0.9333333333333333,32.092991375923155,25.099120909724075,9,0,4.971595764160156,-4.979482664391834
