model,n,correct_n,correct_rate,correct_wilson_low,correct_wilson_high
deepseek,60,58,0.9666666666666667,0.886362257256914,0.9908106807438021
qwen_llamacpp,60,57,0.95,0.8629948352365147,0.9828504978356043
seed,60,60,1.0,0.93982814785791,0.9999999999999998
