"model","model_display","tau","tau_ci_low","tau_ci_high","k","k_ci_low","k_ci_high","bootstrap_requested_n","bootstrap_success_n"
"deepseek","DeepSeek",1.70296557125812,1.09783614003075,2.17218313242852,1.15556962697402,0.824523551115687,1.77940251523105,5000,5000
"qwen_llamacpp","Qwen3-4B",1.55126411502731,0.858991014093522,2.03932259799838,0.916222011528737,0.647187007524733,1.31436437732025,5000,5000
"seed","Doubao/Seed",2.50413987405726,2.16983599035081,2.8080577466983,2.19955397590361,1.43562681436776,4.89100075089912,5000,5000
